!ID,,!catalog_number,!bd_catalog_number,!digital_catalog_number,!line,!post_title,!bd_audio_mix,!bd_canadian_price,!bd_configuration,!bd_consumer_srp,!bd_disc_type,!bd_dvd_features,!bd_frame_rate,!bd_isbn,!bd_prebook_date,!bd_running_time,!bd_street_date,!bd_subtitles,!bd_upc,!digital_running_time,!digital_street_date,!amazon_link,!itunes_link,!youtube_link,!hulu_link,!playstation_link,!slingbox_link,!xbox_link,!snagfilm_link,!tvcom_link,!vudu_link,!cinema_now
19219,AAAE234950,AAAE234950,AAAE236830,,A&E,LennoNYC,Dolby Digital 2.0 Stereo,34.95,Blu-ray Single,34.95,Blu-Ray Standard Amaray,,24,1-4229-1040-7,12/21/2010,115 min + extras,01/11/2011,English,7-33961-23683-5,,11/23/2010,http://www.amazon.com/Lennon-NYC/dp/B004DHXBVQ/ref=sr_1_5?ie=UTF8&qid=1290528092&sr=8-5,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D400546382%2526s%253D143441%2526uo%253D4%2526partnerId%253D30,,,http://us.playstation.com/,,http://www.xbox.com/en-US/default.htm,,,,
20807,AAAE236540,AAAE236540,,239280,A&E,The Greening of Southie,,,,,,,,,,,,,,72 min,01/25/2011,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D412372153%2526s%253D143441%2526uo%253D4%2526partnerId%253D30,,,,,,,,,
20791,AAAE236980,AAAE236980,AAAE236990,,THC,The Universe: The Complete Season 5,Dolby Digital 2.0 Stereo,39.95,Blu-ray 2-pk SET,34.95,Blu-ray Swing Amaray,,24,1-4229-1043-1,12/21/2010,6h 16m,01/11/2011,English,7-33961-23699-6,,,,,,,,,,,,,
23767,AAAE240180,AAAE240180,AAAE240180,,THC,IRT Deadliest Roads: Season 1,Dolby Digital 2.0 Stereo,39.95,Blu-ray 3-pk SET,34.95,Triple Swing BD,Additional Footage,29.97,1-4229-1652-9,04/26/2011,7h 30m + extras,05/24/2011,English,7-33961-24018-4,,,,,,,,,,,,,
23191,AAAE242980,AAAE242980,AAAE242990,,THC,The Universe: Mega Collection,Dolby Digital 2.0 Stereo,199.95,Blu-ray 16-pk SET,179.95,,"Feature-length documentary: Beyond the Big Bang; Featurettes “Meteors: Fire in the Sky”, “Comets: Prophets of Doom”, “Ask the Universe”, “Backyard Astronomers”",24,1-4229-1947-1,03/29/2011,50h 55m + extras,04/26/2011,English,7-33961-24299-7,,,,,,,,,,,,,
10370,AAE-73611,AAE-73611,AAAE149670,,THC,The Crusades: Crescent & the Cross,Dolby Digital 2.0 Stereo,34.95,Blu-ray Single,29.94,Blu-Ray Standard Amaray,,24,1-4229-3269-9,08/04/2009,180 min,09/01/2009,,7-33961-14967-8,,,,,,,,,,,,,
14180,AAE-76291,AAE-76291,AAAE134340,,A&E,Paul McCartney: The Space Within US,Dolby Digital 5.1 Surround,39.95,Blu-ray Single,34.95,Blu-Ray Single Amaray,"Sound Check Songs “Whole Lotta Shakin’ Goin’ On,” “Friends to Go,” and “How Kind of You”; More About US--Extensive Interviews with Paul McCartney, the Band, and the US Tour Crew; US Tour Pre-Show Film; On The Road With US; Song Selections; English Subtitles",24,1-4229-2097-6,10/28/2008,115 min + extras,11/18/2008,English,7-33961-13434-6,,,,,,,,,,,,,
190,NNVG101371,NNVG101371,,NNVG8581,DOC,Married In America 2,,,,,,,,,,,,,,132 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D290942509%2526s%253D143441%2526uo%253D4%2526partnerId%253D30,,,,,,,,,
208,NNVG101380,NNVG101380,,NNVG8980,DOC,Noam Chomsky On the World: The Chomsky Sessions,,,,,,,,,,,,,,70 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D295846852%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,,,,,,,,,
275,NNVG101591,NNVG101591,,NNVG1328,DOC,The Future We Will Create: Inside the World of TED,,,,,,,,,,,,,,74 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D291374492%2526s%253D143441%2526uo%253D4%2526partnerId%253D30,,http://www.hulu.com/the-future-we-will-create-inside-the-world-of-ted,,,,,,,
